source_column,harmonized_name,soi_current_candidate,candidate_match_type,candidate_match_score,candidate_match_via,label,description,section,dtype,n_tax_years,years_present,first_year,last_year,scope_observed,combined_years_present
P1INVEXP,total_operating_admin_expenses_col_b,total_operating_admin_expenses_col_b,description_jaccard,0.357,990pf:TOPRADMNEXPNSA,"Total investment op. and admin. exp., line 24(b)","Total investment operating and administrative expenses (add lines 13 through 23) (Part I, line 24(b))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P1INVRV,total_investment_income,gross_investment_income_4yr_total,description_jaccard,0.333,990pf:GRSINVSTINCTOT,"Total investment income, line 12(b)","Total investment income (add lines 1 through 11) (Part I, line 12(b))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,1997-2011
P1NADINC,adjusted_net_income,adjusted_net_income,description_jaccard,0.333,990pf:ADJNETINC,"Adjusted net income, line 27c","Adjusted net income (line 12 minus 26, enter 0 if negative) (Part I, line 27c)","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P1NADJRV,total_adjusted_net_income,adjusted_net_income_4yr_total,description_jaccard,0.333,990pf:ADJNETINCTOT,"Total adjusted income, line 12(c)","Total adjusted income (add lines 1 through 11) (Part I, line 12(c))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,1997-2011
P1NETINV,net_investment_income,net_investment_income,description_jaccard,0.333,990pf:NETINVSTINC,"Net investment income, line 27b","Net investment income (line 12 minus 26, enter 0 if negative) (Part I, line 27b)","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P1NGASTS,capital_gain,capital_gain,description_jaccard,0.333,990pf:TOTEXCAPGN,"Net gain from sale of assets, line 6a(a)","Net gain from sale of assets not on line 10 (Part I, line 6a(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P1NLASTS,capital_loss,capital_loss,description_jaccard,0.333,990pf:TOTEXCAPLS,"Net loss from sale of assets, line 6a(a)","Net loss from sale of assets not on line 10 (Part I, line 6a(a))","Part I: Revenue, Expenses, and Net Income",Numeric,10,"1989-1992, 1994-1996, 1999-2001",1989,2001,501C3-PRIVFOUND,"1989-1992, 1994-1996, 1999-2001, 2012-2016, 2020-2024"
P1OFCOMP,compensation_officers,"",below_threshold,0.285714286,"","Compensation of officers, line 13(a)","Compensation of officers, directors, trustees, etc. (Part I, line 13(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P1OTHINC,other_income,other_income,description_jaccard,0.5,990pf:OTHERINCAMT,"Other income, line 11(a)","Other income (Part I, line 11(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P1TADJEX,total_expenses_col_c,total_expenses_col_c,description_jaccard,0.4,990pf:TOTEXPNSADJNET,"Total adjusted income expenses, line 26(c)","Total adjusted income expenses and disbursements (lines 24 and 25) (Part I, line 26(c))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P1TCONT,contributions_received,contributions_received,description_jaccard,0.375,990pf:CONTRPDPBKS,"Contributions received, line 1(a)","Contributions, gifts, grants, etc., received (Part I, line 1(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P1TEXCTX,excise_tax_net_investment_income,excise_tax_net_investment_income,description_jaccard,0.444,990pf:INVSTEXCISETX,"Total excise tax, line 5","Total excise tax based on investment income (Part VI, line 5)",Part VI: Excise Tax Based on Investment Income,Numeric,7,"1989-1992, 1994-1996",1989,1996,501C3-PRIVFOUND,"1989-1992, 1994-1996, 2012-2016, 2020-2024"
P1TEXMEX,total_expenses_col_d,"",below_threshold,0.1875,"","Total charity expenses, line 26(d)","Total expenses and disbursements for charitable purposes (cash basis) (lines 24 and 25) (Part I, line 26(d))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P1TINVEX,total_expenses_col_b,total_expenses_col_b,description_jaccard,0.3,990pf:TOTEXPNSNETINC,"Total investment expenses, line 26(b)","Total investment expenses and disbursements (lines 24 and 25) (Part I, line 26(b))","Part I: Revenue, Expenses, and Net Income",Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P1TOTEXP,total_expenses_col_a,"",below_threshold,0.25,"","Total expenses per books, line 26(a)","Total expenses and disbursements as per books (lines 24 and 25) (Part I, line 26(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P1TOTREV,total_revenue_col_a,"",below_threshold,0.222222222,"","Total revenue per books, line 12(a)","Total revenue as per books (add lines 1 through 11) (Part I, line 12(a))","Part I: Revenue, Expenses, and Net Income",Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P2CASHBV,noninterest_cash_eoy,noninterest_cash_eoy,description_jaccard,0.6,990pf:OTHRCASHAMT,"Cash, line 1(b)","Cash - non-interest-bearing, book value end of year (Part II, line 1(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P2CRPBND,investments_corp_bonds,investments_corp_bonds,description_jaccard,0.5,990pf:INVSTCORPBND,"Investments - corporate bonds, line 10c(b)","Investments - corporate bonds, book value end of year (Part II, line 10c(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P2CRPSTK,investments_corp_stock,investments_corp_stock,description_jaccard,0.5,990pf:INVSTCORPSTK,"Investments - corporate stock, line 10b(b)","Investments - corporate stock, book value end of year (Part II, line 10b(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P2EYASST,"","",below_threshold,0,"",P2EYASST,P2EYASST,Parts II and III: Balance Sheets and Net Assets,Numeric,13,"1997-2003, 2006-2011",1997,2011,501C3-PRIVFOUND,""
P2EYOTIN,other_investments_eoy,other_investments_eoy,description_jaccard,0.5,990pf:OTHRINVSTEND,"Investments - other, line 13(b)","Investments - other, book value end of year (Part II, line 13(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P2GVTINV,investments_govt_obligations,investments_govt_obligations,description_jaccard,0.462,990pf:INVSTGOVTOBLIG,"Investments - govt. obligations, line 10a(b)","Investments - U.S. and state government obligations, book value end of year (Part II, line 10a(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P2MORTG,mortgage_loans_eoy,mortgage_loans_eoy,description_jaccard,0.556,990pf:MRTGLOANS,"Investments - mortgage loans, line 12(b)","Investments - mortgage loans, book value end of year (Part II, line 12(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P2MTGNTS,mortgage_notes_payable_eoy,"",below_threshold,0.230769231,"","Mortgages and notes payable, line 21(b)","Mortgages and oher notes payable, book value end of year (Part II, line 21(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P2TASFMV,fair_mkt_value_total_assets_eoy,fair_mkt_value_total_assets_eoy,description_jaccard,0.5,990pf:FAIRMRKTVALAMT,"Total assets per market value, line 16(c)","Total assets, fair market value end of year (Part II, line 16(c))",Parts II and III: Balance Sheets and Net Assets,Numeric,21,"1989-1990, 1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1990, 1992, 1994-2016, 2020-2024"
P2TINVSC,total_investments_securities,total_investments_securities,description_jaccard,0.385,990pf:TOTINVSTSEC,Total securities inv. - line 10a(b)+10b(b)+10c(b),"Total securities investments, book value end of year (Part II, line 10a(b)+10b(b)+10c(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P2TLIABL,total_liabilities_eoy,total_liabilities_eoy,description_jaccard,0.364,990pf:TOTLIABEND,"Total liabilities, line 23(b)","Total liabilities, book value end of year (add lines 17 through 22) (Part II, line 23(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P2TOTAST,total_assets_eoy,total_assets_eoy,description_jaccard,0.444,990pf:TOTASSETSEND,"Total assets per book, line 16(b)","Total assets, book value end of year (Part II, line 16(b))",Parts II and III: Balance Sheets and Net Assets,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P3EYTFND,total_fund_net_worth_eoy,total_fund_net_worth_eoy,description_jaccard,0.333,990pf:TFUNDNWORTH,"Total net assets or fund bal., line 30(b) & 6","Total net assets or fund balances, book value end of year (Part II, line 30(b) and Part III, line 6)",Parts II and III: Balance Sheets and Net Assets,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P6DOMORG,sec4940_no_tax_cd,"",below_threshold,0.166666667,"","Domestic org. meets 4940(e) req.?, line 1","Domestic organization that meets section 4940(e) requirements in Part V? (Part VI, line 1)",Part VI: Excise Tax Based on Investment Income,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P6ESTTX,overpayment,"",below_threshold,0.142857143,"","Est. tax paymts and credits, line 6a","Estimated tax payments and overpayment credited to current year (Part VI, line 6a)",Part VI: Excise Tax Based on Investment Income,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2011, 2013-2016, 2020-2024"
P6EXMPF,sec4940_reduced_tax_cd,"",below_threshold,0.2,"","Section 4940(d)(2) exempt op. fndn.?, line 1","Exempt operating foundation described in section 4940(d)(2)? (Part VI, line 1)",Part VI: Excise Tax Based on Investment Income,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P6INVTAX,"","",skipped_bmf_origin,,"","","","","",3,1999-2001,1999,2001,501C3-PRIVFOUND,""
P6TEXCTX,excise_tax_net_investment_income,excise_tax_net_investment_income,description_jaccard,0.444,990pf:INVSTEXCISETX,"Total excise tax, line 5","Total excise tax based on investment income (Part VI, line 5)",Part VI: Excise Tax Based on Investment Income,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P6TX4940,total_excise_tax,sec4940_no_tax_cd,description_jaccard,0.429,990pf:SEC4940NOTXCD,"Excise tax - section 4940, line 1","Excise tax - as described in section 4940 (Part VI, line 1)",Part VI: Excise Tax Based on Investment Income,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P6TX511,section_511_tax,"",below_threshold,0.214285714,"","Excise tax - section 511, line 2","Excise tax under section 511 (domestic section 4947(a)(1) trusts and taxable foundations only) (Part VI, line 2)",Part VI: Excise Tax Based on Investment Income,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P6TXCRDT,balance_due_or_overpayment,"",below_threshold,0.142857143,"","Overpayment credited, line 11","Tax overpayment to be credited to subsequent year (Part VI, line 11)",Part VI: Excise Tax Based on Investment Income,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,1997-2012
P6TXINV,tax_paid_with_form_2758,tax_paid_with_form_2758,description_jaccard,0.357,990pf:TXPAIDF2758,"Tax paid with extension, line 6c","Tax paid with application for extension of time to file (Form 8868) (Part VI, line 6c)",Part VI: Excise Tax Based on Investment Income,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P6TXPNLT,estimated_tax_penalty,estimated_tax_penalty,description_jaccard,0.429,990pf:ESTPNLTY,"Tax underpayment penalty, line 8","Penalty for underpayment of estimated tax (Part VI, line 8)",Part VI: Excise Tax Based on Investment Income,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P6TXRFD,"","",skipped_bmf_origin,,"","","","","",10,2002-2011,2002,2011,501C3-PRIVFOUND,""
P6TXSUBA,subtitle_a_tax,"",below_threshold,0.153846154,"","Subtitle A tax, line 4","Subtitle A (income) tax (domestic section 4947(a)(1) trusts and taxable foundations only) (Part VI, line 4)",Part VI: Excise Tax Based on Investment Income,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P6TXWERR,erroneous_backup_withholding_credit,"",below_threshold,0.2,"","Backup withholding error, line 6d","Backup withholding erroneously withheld (Part VI, line 6d)",Part VI: Excise Tax Based on Investment Income,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P6TXWTH,tax_withheld_at_source,tax_withheld_at_source,description_jaccard,0.333,990pf:TXWITHLDSRC,"Foreign org. tax withheld, line 6b","Exempt foreign organizations - tax withheld at source (Part VI, line 6b)",Part VI: Excise Tax Based on Investment Income,Numeric,15,1997-2011,1997,2011,501C3-PRIVFOUND,"1997-2016, 2020-2024"
P7BUSINT,direct_indirect_interest_2pct_cd,"",below_threshold,0.157894737,"","Hold >2% interest in any bus. during yr.?, line 3a","Did the organization hold more than a 2% direct or indirect interest in any business enterprise at any time during the year? (Part VII-B, line 3a)",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7DISBOR,dqp_borrow_lend_cd,"",below_threshold,0.157894737,"","Borrow or lend fr/to disqual. person?, line 1a(2)","During the year did the organization borrow money from, lend money to, or otherwise extend credit to (or accept it from) a disqualified person? (Part VII-B, line 1a(2))",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7DISPAY,nce_org_reimbursements_cd,"",below_threshold,0.055555556,"","Compensate or reimb. disqual. person?, line 1a(4)","During the year did the organization pay compensation to or pay or reimburse the expenses of a disqualified person? (Part VII-B, line 1a(4))",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2011, 2013-2016, 2020-2024"
P7DISSAL,dqp_property_exchange_cd,"",below_threshold,0.117647059,"","Sale or exchange with disqual. person?, line 1a(1)","During the year did the organization engage in the sale or exchange, or leasing of property with a disqualified person? (Part VII-B, line 1a(1))",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7DISSER,dqp_furnish_goods_cd,"",below_threshold,0.083333333,"","Give/accept goods to/fr disqual. per?, line 1a(3)","During the year did the organization furnish goods, services, or facilities to (or accept them from) a disqualified person? (Part VII-B, line 1a(3))",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7DISTRA,dqp_transfer_assets_cd,"",below_threshold,0.15,"","Transfer inc./assets to disqual. per?, line 1a(5)","During the year did the organization transfer any income or assets to a disqualified person? (Part VII-B, line 1a(5))",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2011, 2013-2016, 2020-2024"
P7ELECT,s4945_influence_election_cd,"",below_threshold,0.176470588,"","Influence election or voter registr.?, line 5a(2)","Did the organization influence the outcome of any specific public election or to carry on any voter registration drive? (Part VII-B, line 5a(2))",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2011, 2013-2016, 2020-2024"
P7INDGRT,s4945_grant_to_indiv_cd,"",below_threshold,0.117647059,"","Grant to ind. for travel, study, etc.?, line 5a(3)","Did the organization provide a grant to an individual for travel, study, or other similar purposes? (Part VII-B, line 5a(3))",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7JEOINV,jeopardizing_investments_cd,"",below_threshold,0.047619048,"","Invest would jeopardize charitable purp.?, line 4a","Did the organization invest during the year any amount in a manner that would jeaopardize its charitable purposeses? (Part VII-B, line 4a)",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7LIQUID,liquidated_terminated_cd,"",below_threshold,0.071428571,"","Liquidation, termination, etc.?, line 5","Was there a liquidation, termination, dissolution, or substantial contraction during the year? (Part VII-A, line 5)",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7ORGGRT,s4945_grant_to_non_charity_cd,"",below_threshold,0.157894737,"","Grant to non-charitable, etc. org.?, line 5a(4)","Did the organization provide a grant to an organization other than charity, etc. described in section 509(a)(1), (2) or (3) or section 4940(d)(2)? (Part VII-B, line 5a(4))",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7OTHPUR,s4945_non_religious_purpose_cd,"",below_threshold,0.096774194,"","Provide paymt for non-char. purpose?, line 5a(5)","Did the organization provide for any purpose other than religious, charitable, scientific, literary or educational purposes, or for the prevention of cruelty to children or animals? (Part VII-B, line 5a(5))",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7PAYGVT,agreed_pay_govt_official_cd,"",below_threshold,0.125,"","Agree to pay a govt official?, line 1a(6)","During the year did the organization agree to pay money or property to a government official? (Part VII-B, line 1a(6))",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7POFCLM,claiming_private_op_status_cd,"",below_threshold,0.083333333,"","Claim sec. 4942 private oper. fnd. status?, line 9","Is the org. claiming status as a private operating foundation within the meaning of section 4942(j)(3) or 4942(j)(5) for calendar year xxxx or taxable year beginning in xxxx? (Part VII-A, line 9)",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7POLIT,influence_legislation_cd,"",below_threshold,0.1,"","Influence legislation or political camp.?, line 1a","During the year, did the organization attempt to influence any national, state, or local legislation or did it participate or intervene in any political campaign? (Part VII-A, line 1a)",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7PROPAG,s4945_propaganda_legislation_cd,"",below_threshold,0.133333333,"","Pay for propaganda or influence leg.?, line 5a(1)","Did the organization pay to carry on propaganda, or otherwise attempt to influence legislation? (Part VII-B, line 5a(1))",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
P7UNDINC,undistributed_income_prior_years_cd,"",below_threshold,0.095238095,"","Undistributed inc. from prior yrs?, line 2a","At the end of the tax year, did the organization have any undistributed income for the tax years before the current tax year? (Part VII-B, line 2a)",Parts VII-A and VII-B: Statements Regarding Activities,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2011"
PMSA,"","",below_threshold,0,"",Primary MSA,Primary Metropolitan Statistical Area,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
RECCODE,"","",skipped_bmf_origin,,"","","","","",12,"1999-2001, 2003-2011",1999,2011,501C3-PRIVFOUND,""
RESERVED,"","",skipped_bmf_origin,,"","","","","",11,"1999-2001, 2003-2010",1999,2010,501C3-PRIVFOUND,""
RULEDATE,"","",below_threshold,0.176470588,"",Ruling date (YYYYMM) from IRS,Ruling date: year and month of IRS ruling or determination letter recognizing orgs exempt status (YYYYMM),Other Descriptive Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
RandNum,"","",below_threshold,0.133333333,"",Random number between 0 and 1,Random number between 0 and 1 used for creating samples,Miscellaneous,Numeric,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
SEC_NAME,"","",below_threshold,0.125,"",Sort Name (Secondary name),Secondary organization name,Other Descriptive Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
SOURCE,"","",skipped_bmf_origin,,"","","","","",13,1999-2011,1999,2011,501C3-PRIVFOUND,""
STATE,"","",below_threshold,0.111111111,"",State,Two-letter state abbreviation.,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
STYEAR,"","",below_threshold,0.125,"",Starting Year,"Starting year (yyyy when fiscal year began, which is also the tax form year)",Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
SUBSECCD,subsection_cd,subsection_cd,description_jaccard,0.4,990pf:SUBCD,Subsection code,"IRS subsection code (03=501(c)(3), etc.)",Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
TAXPER,tax_period,"",below_threshold,0.181818182,"",Ending date for tax period,Ending date for tax period of financial data. Core files for 1997 on are in yyyymm format (199412=Dec. 1994). Earlier years use 2-digit year ('9412').,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,"1989-1992, 1994-2016, 2020-2024"
TFLD,"","",skipped_bmf_origin,,"","","","","",10,2002-2011,2002,2011,501C3-PRIVFOUND,""
Verifyby,"","",skipped_bmf_origin,,"","","","","",3,"2002, 2008, 2011",2002,2011,501C3-PRIVFOUND,""
ZIP,"",eo_status,description_jaccard,0.333,990pf:EOSTATUS,Zip code + 4,ZIP code.,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
ZIP5,"","",below_threshold,0.2,"","Zip code, 5 digits",First 5 digits of zip code,Basic Info,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
cityOld1,"","",skipped_bmf_origin,,"","","","","",15,"1989-1992, 1994-2004",1989,2004,501C3-PRIVFOUND,""
estTAXPER,"","",skipped_bmf_origin,,"","","","","",7,"1989-1992, 1994-1996",1989,1996,501C3-PRIVFOUND,""
fincheckv,"","",below_threshold,0.111111111,"",Verif. code financial variable,Results code for financial variable check (finCheckA),Verification,Character,6,"2002, 2006-2009, 2011",2002,2011,501C3-PRIVFOUND,""
fipsold,"","",skipped_bmf_origin,,"","","","","",8,"1989-1992, 1994-1996, 1999",1989,1999,501C3-PRIVFOUND,""
nteeConf,"","",below_threshold,0,"",NTEE confidence rating,NTEE classification confidence rating (A/B/C),Classification,Character,13,"1998, 2000-2011",1998,2011,501C3-PRIVFOUND,""
ntmaj10,"","",below_threshold,0,"",NTEE major group (10),10 NTEE major groups,Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
ntmaj12,"","",below_threshold,0.083333333,"",NTEE major group (12),12 NTEE major groups: ntmaj10 plus higher education (BH) and hospitals (EH),Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
ntmaj5,"","",below_threshold,0,"",Major subsector,Major subsector (5),Classification,Character,22,"1989-1992, 1994-2011",1989,2011,501C3-PRIVFOUND,""
stateOld1,"","",skipped_bmf_origin,,"","","","","",15,"1989-1992, 1994-2004",1989,2004,501C3-PRIVFOUND,""
vMagP,"","",skipped_bmf_origin,,"","","","","",4,"2006-2007, 2009, 2011",2006,2011,501C3-PRIVFOUND,""
v_errorCd,"","",skipped_bmf_origin,,"","","","","",8,"1989-1992, 1994-1996, 1999",1989,1999,501C3-PRIVFOUND,""
verfail,"","",skipped_bmf_origin,,"","","","","",5,"2002, 2006-2007, 2009, 2011",2002,2011,501C3-PRIVFOUND,""
verify,"","",below_threshold,0,"",Financials have been verified,Financials have been verified,Verification,Character,12,"1997-1998, 2002-2011",1997,2011,501C3-PRIVFOUND,""
zip5Old1,"","",skipped_bmf_origin,,"","","","","",15,"1989-1992, 1994-2004",1989,2004,501C3-PRIVFOUND,""
zipnew,"","",skipped_bmf_origin,,"","","","","",8,"1989-1992, 1994-1996, 1999",1989,1999,501C3-PRIVFOUND,""
